;;X long; Y lat;siren;nom;PLCI norme;plci;Nom de l'Entreprise 
;;;;200063972;162;0.168382716696769;1.5335651243648;COMMUNE DE VILLAGES DU LAC DE PALADRU
;;5,620908;45,334934;213800618;184;0.168382716696769;1.5335651243648;COMMUNE DE LA BUISSE
;;5,515787;45,42854;213800824;191;0.168382716696769;1.5335651243648;COMMUNE DE CHARAVINES
;;5,556116;45,414684;213801053;196;0.168382716696769;1.5335651243648;COMMUNE DE CHIRENS
;;5,520694;45,319839;213805666;310;0.168382716696769;1.5335651243648;COMMUNE DE VOUREY
;;;;311508089;478;0.168382716696769;1.5335651243648;GRUPODESA FRANCE
;;;;325751568;568;0.168382716696769;1.5335651243648;VALO BIOMEDIA FRANCE
;;5,599789;45,343881;334897162;642;0.168382716696769;1.5335651243648;CARBONERO
;;;;348308636;753;0.168382716696769;1.5335651243648;SARL ROLAND TOMAI
;;5,525231;45,387387;353271067;803;0.168382716696769;1.5335651243648;EUROFEU SERVICES
;;5,559307;45,415379;533941258;1686;0.168382716696769;1.5335651243648;JMT ENERGIE ET ISOLATIONS
;;5,512988;45,431876;723620035;1796;0.168382716696769;1.5335651243648;ETABLISSEMENTS RIBEAUD
;;5,524478;45,38699;794293142;1992;0.168382716696769;1.5335651243648;CREAMOB
;;5,53188;45,41143;829919836;2117;0.168382716696769;1.5335651243648;FREGATA HYGIENE
;;5,515451;45,373453;60500378;2302;0.168382716696769;1.5335651243648;ALGAFLEX
;;;;200030344;2443;0.168382716696769;1.5335651243648;COLLEGE DE CHIRENS
;;;;325397438;2588;0.168382716696769;1.5335651243648;WITTMANN BATTENFELD FRANCE
;;;;398914911;2732;0.168382716696769;1.5335651243648;EMPLOIS VERTS ET RESSOURCERIE
;;5,516596;45,426502;553620105;3425;0.168382716696769;1.5335651243648;ETABLISSEMENTS PAUL CHARVET
;;5,592795;45,526079;329506596;586;0.168216240382344;1.53303022198449;SIPALEX CHARANCIEU
;;;;343262622;704;0.168216240382344;1.53303022198449;LIDL
;;5,590975;45,526667;343361655;718;0.168216240382344;1.53303022198449;SOFEN
