id;label;siren;long;lat;PLCI norme;Plci
276;COMMUNE DE SAINT JUS;213804081;4,99862;45,58612;0.606653109449267;2.94176470588235
277;COMMUNE DE SAINT;213804099;5,283292;45,074239;0.297818051161815;1.94945172506018
278;COMMUNE DE SAINT N;213804313;5,851539;45,246932;0.179120438977149;1.56806632789516
279;COMMUNE DE SAINT;213804362;5,643009;45,071686;0.154648420756748;1.48943567798877
280;COMMUNE DE SAINT PI;213804420;5,816035;45,34177;0.285914994680464;1.91120620486761
281;COMMUNE DE SAINT Q;213804503;5,543983;45,279809;0.297734813004603;1.94918427387002
282;COMMUNE DE SAINT;213804511;5,220138;45,752321;0.300398434035395;1.95774271195507
283;COMMUNE DE SAINT;213804537;5,326745;45,114252;0.569480619647846;2.82232637409459
284;COMMUNE DE SAINT;213804552;5,311170948;45,62681904;0.521847397579452;2.66927683095348
285;COMMUNE DE SAINT SI;213804578;5,260402;45,328285;0.269766792181288;1.859320673977
286;COMMUNE DE SAINT VE;213804636;5,33252;45,17351;0.567721488247338;2.81667413715823
287;COMMUNE DE SAINT VIC;213804644;5,391681;45,54122;0.28022985409564;1.89293937068304
288;COMMUNE DE SAINT;213804669;5,949169;45,375144;0.108778348118677;1.34205128205128
289;COMMUNE DE SATOLA;213804750;5,126664;45,693245;0.284250231536219;1.90585718106446
290;COMMUNE DE SEPTEM;213804800;5,004293;45,553314;0.300981101135881;1.95961487028617
291;COMMUNE DE SERPAI;213804842;4,918092;45,558495;0.301064339293093;1.95988232147633
292;COMMUNE DE SEYSSU;213804875;4,845243;45,559723;0.300481672192607;1.95801016314523
293;COMMUNE DE SILLAN;213804909;5,389153;45,341422;0.270182982967349;1.86065792992779
294;COMMUNE DE SUSVILLE;213804990;;;0.545562396143186;2.74547511312217
295;COMMUNE DE TENCIN;213805013;5,956573;45,308177;0.179370153448786;1.56886868146563
296;COMMUNE DE LA TERRASSE;213805039;;;0.179120438977149;1.56806632789516
297;COMMUNE DE THEYS;213805047;5,995568;45,301525;0.179286915291573;1.56860123027547
298;COMMUNE DE LA TOUR;213805096;5,445266;45,56635;0.259528498844181;1.82642417758759
